"variable","depth.mm","period","RMSE","NRMSE","R2","NSE","number"
"temp",6,"cal",5.71924350050983,0.150468459366732,0.731935851189259,0.65517771004067,"0200"
"temp",6,"val",6.37808770806217,0.194045441668095,0.715802256881117,0.500247323290526,"0200"
"temp",90,"cal",6.42001352505334,0.327593489830207,0.80192979253017,-0.657764300643543,"0200"
"temp",90,"val",7.78291340261556,0.436578057023956,0.707161557837243,-1.59176897480962,"0200"
"temp",120,"cal",6.17462005670029,0.250131455984294,0.780863697359916,-0.164137980583757,"0200"
"temp",120,"val",7.58468501097569,0.341320318490863,0.684574737188659,-1.00646133930494,"0200"
"temp",160,"cal",4.74378619455075,0.129627877541035,0.771439272929533,0.6495571916326,"0200"
"temp",160,"val",5.23483964464635,0.149018671163829,0.767777634177854,0.615165276867217,"0200"
"temp",236,"cal",4.22846768082413,0.143368260659077,0.844594962167599,0.520108407862138,"0200"
"temp",236,"val",5.1473560180143,0.143708971630436,0.752379136976434,0.513231763008254,"0200"
"temp",280,"cal",6.06485906832196,0.323968380628735,0.678199004930429,-0.913915148584643,"0200"
"temp",280,"val",6.63769296360418,0.357399871782563,0.63902070849615,-1.0260405088574,"0200"
"temp",312,"cal",4.2657417219551,0.199012116165502,0.845419879886956,0.286341601870878,"0200"
"temp",312,"val",4.90905568476134,0.184599546710758,0.785667744001345,0.232481810687069,"0200"
"temp",387,"cal",4.12289466164803,0.231078594927311,0.829913263016679,0.214950047961966,"0200"
"temp",387,"val",4.81921365216232,0.24144054569268,0.77886347661136,-0.0405922676296231,"0200"
"temp",390,"cal",5.05689794991506,0.360402518021005,0.72638297865138,-0.597617287877606,"0200"
"temp",390,"val",6.02147756032092,0.438149760981365,0.603841055970488,-1.25870967636498,"0200"
"temp",463,"cal",3.85042788640653,0.232180777147882,0.824654859750565,0.23225411156169,"0200"
"temp",463,"val",4.59550211009212,0.274622705109643,0.748745107224209,-0.112619883173373,"0200"
"temp",616,"cal",3.19850779938917,0.221828479419186,0.841126430759467,0.404902433371267,"0200"
"temp",616,"val",3.80779616602072,0.260249430461217,0.744416246791757,0.169900140694391,"0200"
"temp",650,"cal",3.17172117783264,0.196739098467939,0.832170081488736,0.460944298465881,"0200"
"temp",650,"val",3.16631722125624,0.159583955065753,0.813137932000292,0.571812592702627,"0200"
"temp",680,"cal",3.25241365790237,0.250455164033276,0.841183649349449,0.295197275322771,"0200"
"temp",680,"val",3.86655551956091,0.300168113432721,0.708608788320267,-0.0119961759633871,"0200"
"temp",768,"cal",2.61835168650428,0.196069317868066,0.862683084103765,0.554501176307818,"0200"
"temp",768,"val",3.11811445190088,0.23835530582826,0.7616732022947,0.358439192271487,"0200"
"temp",978,"cal",1.97781319676355,0.147777995893961,0.899621889283161,0.709365648252689,"0200"
"temp",978,"val",2.30955858038789,0.195728067998727,0.812852290180481,0.589501250307776,"0200"
"VWC",90,"cal",0.111196600343202,0.194145090079794,0.775523074982871,0.706200356444325,"0200"
"VWC",90,"val",0.156334437928062,0.266195566381265,0.689309332420255,0.413237627304242,"0200"
"VWC",120,"cal",0.149882948069109,0.213402075986486,0.798099313592503,0.637766273822583,"0200"
"VWC",120,"val",0.168322116802231,0.247229548533164,0.61399105071965,0.406105504913093,"0200"
"VWC",280,"cal",0.135890802413854,0.266510254267841,0.520665572497877,0.422807994381114,"0200"
"VWC",280,"val",0.170104032910012,0.362936995140711,0.360389383460654,0.111618753063504,"0200"
"VWC",390,"cal",0.134707415241877,0.331112043454938,0.360495204073664,0.285975053477927,"0200"
"VWC",390,"val",0.169618723671676,0.375435706457322,0.297929878145585,-0.000187574483602404,"0200"
"VWC",680,"cal",0.106211235823663,0.260961267380008,0.276716527467519,-0.784320657956674,"0200"
"VWC",680,"val",0.106451712691281,0.253985595445944,0.274422247644783,0.236759238859309,"0200"
